phrase,pin,value,action
change pin eight hundred and seventy eight to four hundred and thirty eight,eight hundred and seventy eight,four hundred and thirty eight,change
change the pin nine hundred and sixty one to seven hundred and eighty,nine hundred and sixty one,seven hundred and eighty,change
change pin five hundred and forty eight to seven hundred,five hundred and forty eight,seven hundred,change
change pin two hundred and seventy four to nine hundred and thirty,two hundred and seventy four,nine hundred and thirty,change
turn pin three hundred and twenty four on,three hundred and twenty four,on,turn
set the pin ninety six to thirty two percent,ninety six,thirty two percent,set
delete the pin three hundred and thirty four,three hundred and thirty four,,delete
change the pin five hundred and eighty three to six hundred and ninety,five hundred and eighty three,six hundred and ninety,change
turn on the pin nine hundred and seventeen,nine hundred and seventeen,on,turn
change the pin five hundred and fifty four to three hundred and forty six,five hundred and fifty four,three hundred and forty six,change
delete pin four hundred and seventy one,four hundred and seventy one,,delete
delete the pin one thousand and two,one thousand and two,,delete
add pin three hundred and ninety two,three hundred and ninety two,,add
add the pin six hundred and thirty,six hundred and thirty,,add
add pin one hundred and thirty one,one hundred and thirty one,,add
change the pin eight hundred and thirty seven to three hundred and sixty five,eight hundred and thirty seven,three hundred and sixty five,change
set the pin eighty three to three hundred and thirty one,eighty three,three hundred and thirty one,set
turn the pin seven hundred and twenty eight on,seven hundred and twenty eight,on,turn
add pin four hundred and seventy nine,four hundred and seventy nine,,add
add pin four hundred and sixty eight,four hundred and sixty eight,,add
set the pin nine hundred and seventy three to three hundred and ninety one,nine hundred and seventy three,three hundred and ninety one,set
delete the pin seven hundred and eighty seven,seven hundred and eighty seven,,delete
add the pin six hundred and eighty one,six hundred and eighty one,,add
set the pin three hundred and fifty one to eight hundred and ninety four,three hundred and fifty one,eight hundred and ninety four,set
add the pin eight hundred and eighty four,eight hundred and eighty four,,add
turn on pin two hundred and ninety four,two hundred and ninety four,on,turn
set pin two hundred and ninety four to two hundred and five,two hundred and ninety four,two hundred and five,set
change pin three hundred and ten to seventeen percent,three hundred and ten,seventeen percent,change
set pin eight hundred and fourteen to eight hundred and seventy two,eight hundred and fourteen,eight hundred and seventy two,set
delete pin one hundred and sixty eight,one hundred and sixty eight,,delete
change the pin nine hundred and ninety six to six hundred and thirty,nine hundred and ninety six,six hundred and thirty,change
delete pin three hundred and forty nine,three hundred and forty nine,,delete
add the pin two hundred and thirty seven,two hundred and thirty seven,,add
turn on pin six hundred and sixty one,six hundred and sixty one,on,turn
add pin two hundred and forty,two hundred and forty,,add
add the pin one hundred and nine,one hundred and nine,,add
change pin two hundred and fifty seven to eight hundred and eighty six,two hundred and fifty seven,eight hundred and eighty six,change
turn pin one hundred and seventy six off,one hundred and seventy six,off,turn
change pin nine hundred and fifty eight to one hundred and sixty seven,nine hundred and fifty eight,one hundred and sixty seven,change
add the pin one hundred and forty nine,one hundred and forty nine,,add
change the pin one thousand and one to six hundred and ninety,one thousand and one,six hundred and ninety,change
set pin three hundred and sixty seven to eight hundred and thirty,three hundred and sixty seven,eight hundred and thirty,set
add the pin eight hundred and eighty eight,eight hundred and eighty eight,,add
set pin one thousand and thirteen to two hundred and eighty nine,one thousand and thirteen,two hundred and eighty nine,set
set the pin five hundred and eighteen to eighty seven percent,five hundred and eighteen,eighty seven percent,set
change pin eight hundred and fourteen to five hundred and ninety seven,eight hundred and fourteen,five hundred and ninety seven,change
delete pin eight hundred and forty eight,eight hundred and forty eight,,delete
turn the pin six hundred and sixty on,six hundred and sixty,on,turn
change the pin four hundred and ninety four to two hundred and thirty eight,four hundred and ninety four,two hundred and thirty eight,change
turn the pin seven hundred and ninety five off,seven hundred and ninety five,off,turn
change the pin six hundred and eighty two to two hundred and seventy four,six hundred and eighty two,two hundred and seventy four,change
set pin four hundred and fifty eight to seven hundred and thirty nine,four hundred and fifty eight,seven hundred and thirty nine,set
change the pin nine hundred and nine to five hundred and seventy five,nine hundred and nine,five hundred and seventy five,change
change the pin eight hundred and twenty three to four percent,eight hundred and twenty three,four percent,change
turn on the pin one hundred and thirty eight,one hundred and thirty eight,on,turn
turn off pin seven hundred and sixty nine,seven hundred and sixty nine,off,turn
change the pin seventy eight to thirty three,seventy eight,thirty three,change
change pin eight hundred and thirty six to four hundred and fifty one,eight hundred and thirty six,four hundred and fifty one,change
set the pin five hundred and forty seven to one hundred and seventeen,five hundred and forty seven,one hundred and seventeen,set
change pin seven hundred and sixty two to six hundred and fifty three,seven hundred and sixty two,six hundred and fifty three,change
delete the pin six hundred and fifty six,six hundred and fifty six,,delete
delete the pin thirty six,thirty six,,delete
set pin eight hundred and ninety seven to one hundred and sixty,eight hundred and ninety seven,one hundred and sixty,set
turn off pin nineteen,nineteen,off,turn
turn off pin four hundred and nine,four hundred and nine,off,turn
turn pin three hundred and twelve on,three hundred and twelve,on,turn
set pin three hundred and one to five hundred and twenty five,three hundred and one,five hundred and twenty five,set
add the pin two hundred and seventy nine,two hundred and seventy nine,,add
change the pin six hundred and thirty to six hundred and thirty two,six hundred and thirty,six hundred and thirty two,change
add the pin eight hundred and forty six,eight hundred and forty six,,add
set pin three hundred and eleven to nine hundred and sixty seven,three hundred and eleven,nine hundred and sixty seven,set
change pin one hundred and twenty one to four hundred and thirty three,one hundred and twenty one,four hundred and thirty three,change
change pin eight hundred and ninety nine to fifty percent,eight hundred and ninety nine,fifty percent,change
delete pin sixty three,sixty three,,delete
change pin eight hundred and sixty four to four hundred and eighty one,eight hundred and sixty four,four hundred and eighty one,change
delete the pin three hundred and six,three hundred and six,,delete
change the pin two hundred and twenty one to eight,two hundred and twenty one,eight,change
add the pin eight hundred and sixty two,eight hundred and sixty two,,add
add the pin six hundred and seventy seven,six hundred and seventy seven,,add
delete pin eight hundred and seventy three,eight hundred and seventy three,,delete
add the pin eight hundred and fifty one,eight hundred and fifty one,,add
set pin seven hundred and ninety seven to five hundred and twenty six,seven hundred and ninety seven,five hundred and twenty six,set
delete the pin five hundred and sixty six,five hundred and sixty six,,delete
change pin six hundred and sixty five to eight hundred and sixty seven,six hundred and sixty five,eight hundred and sixty seven,change
change pin two hundred and sixty six to forty eight percent,two hundred and sixty six,forty eight percent,change
set pin four hundred and seventy to ninety one,four hundred and seventy,ninety one,set
change pin two hundred and seven to nine hundred and thirty one,two hundred and seven,nine hundred and thirty one,change
turn off pin one hundred and sixty nine,one hundred and sixty nine,off,turn
add pin twenty seven,twenty seven,,add
change the pin seven hundred and nine to nine hundred and forty seven,seven hundred and nine,nine hundred and forty seven,change
delete pin seven hundred and thirty two,seven hundred and thirty two,,delete
delete pin seven hundred and twenty nine,seven hundred and twenty nine,,delete
turn the pin four hundred and fourteen off,four hundred and fourteen,off,turn
add pin four hundred and twenty seven,four hundred and twenty seven,,add
add pin nine hundred and fifty,nine hundred and fifty,,add
add the pin one hundred and four,one hundred and four,,add
turn the pin one hundred and fifty nine on,one hundred and fifty nine,on,turn
turn on pin four hundred and forty five,four hundred and forty five,on,turn
add the pin two hundred and eighty eight,two hundred and eighty eight,,add
turn the pin eight hundred and thirty three on,eight hundred and thirty three,on,turn
delete the pin one hundred and ninety eight,one hundred and ninety eight,,delete
change the pin two hundred and forty seven to four hundred and fifty three,two hundred and forty seven,four hundred and fifty three,change
